    1  pyton3
    2  pyton3 --version
    3  /bin/bash -c "$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)"\n
    4  /usr/local/bin/python3 Untitled-1
    5  /usr/local/bin/python3 Untitled-1
    6  /bin/bash -c "$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)"\n
    7  echo >> /Users/mac/.zprofile\necho 'eval "$(/usr/local/bin/brew shellenv)"' >> /Users/mac/.zprofile\n
    8  eval "$(/usr/local/bin/brew shellenv)"\n
    9  brew --version\n
   10  brew install python\n
   11  ^[[200~python --version
   12  ~python --version\n
   13  python --version\n
   14  python3 --version\n
   15  python3\n
   16  /usr/local/bin/python3 "/Users/mac/Desktop/код бота.py"
   17  pip --version\n
   18  python3 --version\n
   19  python3 -m ensurepip --upgrade\n
   20  brew install python\n
   21  python3 -m ensurepip --upgrade\n
   22  python3 -m venv myenv\n
   23  source myenv/bin/activate\n
   24  pip install python-telegram-bot\n
   25  source myenv/bin/activate\n
   26  source myenv/bin/activate\n
   27  python код бота.py
   28  python bot.py\n
   29  cd /Users/mac/Desktop\n
   30  python3 -m venv myenv\n
   31  source myenv/bin/activate\n
   32  pip install python-telegram-bot\n
   33  pyton "bot.py"
   34  python "bot.py"
   35  ls\n
   36  python3 bot.py\n
   37  python bot.py
   38  python3 bot.py\n
   39  python bot.py
   40  python3 bot.py
   41  python3 bot.py\n
   42  python bot.py
   43  python3 bot.py
   44  pip install requests\n
   45  python3 bot.py
   46  ps aux | grep python\n
   47  ls\n
   48  python3 bot.py
   49  cd /Users/mac/Desktop\n
   50  python3 bot.py\n
   51  source myenv/bin/activate\n
   52  pip install requests\n
   53  python3 bot.py\n
   54  python3 bot.py
   55  python3 bot.py
   56  python3 bot.py
   57  python3 bot.py
   58  python3 bot.py
   59  python3 bot.py
   60  pip install python-telegram-bot --upgrade\n
   61  python3 bot.py
   62  python3 bot.py
   63  python3 bot.py
   64  python3 boy.py
   65  pip install --upgrade python-telegram-bot\n
   66  python3 bot.py
   67  ls /Users/mac/Desktop/\n
   68  python3 /Users/mac/Desktop/bot.py\n
   69  pip install python-telegram-bot requests\n
   70  python3 bot.py\n
   71  python3 bot.py
   72  python3 bot.py
   73  python3 bot.py
   74  python3 bot.py
   75  python3 bot.py
   76  python3 bot.py
   77  python3 bot.py
   78  python3 bot.py
   79  python3 bot.py
   80  python3 bot.py
   81  python3 bot.py
   82  python3 bot.py
   83  python3 bot.py
   84  python3 bot.py
   85  python3 bot.py
   86  python3 bot.py
   87  pethon3 bot.py
   88  pathon3 bot.py
   89  python3 bot.py
   90  python3 bot.py
   91  python bot.py
   92  python3 bot.py
   93  pethon3 bot.py
   94  python3 bot.py
   95  python3 bot.py
   96  phyton3 bot.py
   97  python3 bot.py
   98  python3 bot.py
   99  python3 bot.py
  100  python3 bot.py
  101  python3 bot.py
  102  python3 bot.py
  103  python3 bot.py
  104  python3 bot.py
  105  python bot2.py
  106  python --version\n
  107  python3 --version\n
  108  ls\n
  109  python3 bot2.py\n
  110  python3 bot2.py
  111  nano bot2.py\n
  112  ls
  113  python3 bot2.py\n
  114  pwd
  115  cd Documents\n
  116  ls\n
  117  python3 bot2.py
  118  find /Users/mac -name "bot2.py"\n
  119  cd ~/Desktop\n
  120  ls\n
  121  python3 bot2.py
  122  pip3 install gspread\n
  123  python3 bot2.py\n
  124  pip3 install gspread\n
  125  python3 -m pip install gspread\n
  126  pip3 show gspread\n
  127  pip3 install gspread\n
